sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,M1,1,307,,,,,1,,,,
DEN010002,1,2,M1,1,401,,,,,1,,,,
DEN010003,1,3,M2,2,303,314,,,,1,1,,,
DEN010004,1,4,S3,3,103,225,227,,,1,1,1,,
DEN010005,1,5,S2,2,209,211,,,,1,1,,,
DEN010006,1,6,S1,1,105,,,,,1,,,,
DEN010007,1,7,S3,3,104,107,212,,,1,1,1,,
DEN010008,1,8,M3,3,302,316,405,,,1,1,1,,
DEN010009,1,9,M2,2,403,404,,,,1,1,,,
DEN010010,1,10,S1,1,114,,,,,1,,,,
DEN010011,1,11,S2,2,111,201,,,,1,1,,,
DEN010012,1,12,S1,1,231,,,,,1,,,,
DEN010013,1,13,S4,4,202,206,213,232,,1,1,1,1,
DEN010014,1,14,M4,4,301,304,306,312,,1,1,1,1,
DEN010015,1,15,M1,1,309,,,,,1,,,,
DEN010016,1,16,M1,1,313,,,,,1,,,,
DEN010017,1,17,M3,3,310,311,317,,,1,1,1,,
DEN010018,1,18,S1,1,215,,,,,1,,,,
DEN010019,1,19,S3,4,113,219,226,,,2,1,1,,
DEN010020,1,20,L2,2,501,601,,,,1,1,,,
DEN020001,2,1,M1,1,404,,,,,1,,,,
DEN020002,2,2,M1,1,401,,,,,1,,,,
DEN020003,2,3,M3,3,303,304,405,,,1,1,1,,
DEN020004,2,4,M3,3,309,311,313,,,1,1,1,,
DEN020005,2,5,S1,1,217,,,,,1,,,,
DEN020006,2,6,M1,1,402,,,,,1,,,,
DEN020007,2,7,S2,2,105,205,,,,1,1,,,
DEN020008,2,8,M1,1,403,,,,,1,,,,
DEN020009,2,9,M2,2,310,406,,,,1,1,,,
DEN020010,2,10,S1,1,111,,,,,1,,,,
DEN020011,2,11,S4,5,113,223,227,230,,2,1,1,1,
DEN020012,2,12,M1,1,315,,,,,1,,,,
DEN020013,2,13,M1,1,314,,,,,1,,,,
DEN020014,2,14,L5,5,501,502,503,601,602,1,1,1,1,1
DEN020015,2,15,M1,1,302,,,,,1,,,,
DEN020016,2,16,M1,1,306,,,,,1,,,,
DEN020017,2,17,M3,3,305,307,312,,,1,1,1,,
DEN020018,2,18,S2,2,115,222,,,,1,1,,,
DEN020019,2,19,M1,1,316,,,,,1,,,,
DEN020020,2,20,M1,1,301,,,,,1,,,,
DEN030001,3,1,S2,2,103,224,,,,1,1,,,
DEN030002,3,2,M3,3,307,309,314,,,1,1,1,,
DEN030003,3,3,S1,1,217,,,,,1,,,,
DEN030004,3,4,M1,1,401,,,,,1,,,,
DEN030005,3,5,M2,2,303,403,,,,1,1,,,
DEN030006,3,6,M1,1,311,,,,,1,,,,
DEN030007,3,7,S2,2,108,209,,,,1,1,,,
DEN030008,3,8,S1,1,229,,,,,1,,,,
DEN030009,3,9,S1,1,221,,,,,1,,,,
DEN030010,3,10,S1,1,101,,,,,1,,,,
DEN030011,3,11,S1,1,227,,,,,1,,,,
DEN030012,3,12,S1,1,215,,,,,1,,,,
