sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,xM2-5,5,304,306,310,402,403,1,1,1,1,1
DEN010002,1,2,xS1,1,221,,,,,1,,,,
DEN010003,1,3,xM2-5,2,305,308,,,,1,1,,,
DEN010004,1,4,xS2-3,2,214,226,,,,1,1,,,
DEN010005,1,5,xS2-3,2,215,218,,,,1,1,,,
DEN010006,1,6,xL1,1,501,,,,,1,,,,
DEN010007,1,7,xL1,1,404,,,,,1,,,,
DEN010008,1,8,xS1,1,102,,,,,1,,,,
DEN010009,1,9,xS2-3,3,219,223,301,,,1,1,1,,
DEN010010,1,10,xS2-3,2,105,207,,,,1,1,,,
DEN010011,1,11,xM2-5,5,303,307,311,312,401,1,1,1,1,1
DEN010012,1,12,xL1,1,601,,,,,1,,,,
DEN010013,1,13,xS1,1,220,,,,,1,,,,
DEN010014,1,14,xS2-3,2,103,209,,,,1,1,,,
DEN010015,1,15,xS4-5,4,108,109,206,211,,1,1,1,1,
DEN010016,1,16,xS1,1,203,,,,,1,,,,
DEN010017,1,17,xS2-3,3,104,205,208,,,1,1,1,,
DEN010018,1,18,xS1,1,217,,,,,1,,,,
DEN010019,1,19,xS2-3,2,101,210,,,,1,1,,,
DEN010020,1,20,xS1,1,225,,,,,1,,,,
DEN020001,2,1,xS1,1,216,,,,,1,,,,
DEN020002,2,2,xS1,1,225,,,,,1,,,,
DEN020003,2,3,xS1,1,201,,,,,1,,,,
DEN020004,2,4,xS1,1,107,,,,,1,,,,
DEN020005,2,5,xS2-3,2,106,214,,,,1,1,,,
DEN020006,2,6,xL1,1,401,,,,,1,,,,
DEN020007,2,7,xS1,1,218,,,,,1,,,,
DEN020008,2,8,xM1,1,306,,,,,1,,,,
DEN020009,2,9,xS4-5,5,209,211,220,224,226,1,1,1,1,1
DEN020010,2,10,xM1,1,311,,,,,1,,,,
DEN020011,2,11,xS2-3,3,104,205,217,,,1,1,1,,
DEN020012,2,12,xL1,1,404,,,,,1,,,,
DEN020013,2,13,xS1,1,213,,,,,1,,,,
DEN020014,2,14,xS4-5,5,105,109,204,206,210,1,1,1,1,1
DEN020015,2,15,xS2-3,2,207,301,,,,1,1,,,
DEN020016,2,16,xS2-3,2,212,302,,,,1,1,,,
DEN020017,2,17,xL1,1,403,,,,,1,,,,
DEN020018,2,18,xL1,1,601,,,,,1,,,,
DEN020019,2,19,xS2-3,2,215,221,,,,1,1,,,
DEN020020,2,20,xL1,1,501,,,,,1,,,,
DEN030001,3,1,xM1,1,305,,,,,1,,,,
DEN030002,3,2,xL1,1,402,,,,,1,,,,
DEN030003,3,3,xM1,1,302,,,,,1,,,,
DEN030004,3,4,xS2-3,2,104,109,,,,1,1,,,
DEN030005,3,5,xM1,1,308,,,,,1,,,,
DEN030006,3,6,xM1,1,311,,,,,1,,,,
DEN030007,3,7,xS1,1,209,,,,,1,,,,
DEN030008,3,8,xS2-3,3,108,221,303,,,1,1,1,,
DEN030009,3,9,xS1,1,106,,,,,1,,,,
DEN030010,3,10,xS1,1,224,,,,,1,,,,
DEN030011,3,11,xS1,1,218,,,,,1,,,,
DEN030012,3,12,xM2-5,3,310,312,401,,,1,1,1,,
DEN030013,3,13,xS2-3,2,211,216,,,,1,1,,,
DEN030014,3,14,xL1,1,601,,,,,1,,,,
DEN030015,3,15,xS2-3,2,212,217,,,,1,1,,,
DEN030016,3,16,xS1,1,226,,,,,1,,,,
DEN030017,3,17,xS1,1,219,,,,,1,,,,
DEN030018,3,18,xS2-3,3,206,304,309,,,1,1,1,,
DEN030019,3,19,xM2-5,3,306,403,404,,,1,1,1,,
DEN030020,3,20,xL1,1,501,,,,,1,,,,
DEN040001,4,1,xS2-3,2,212,303,,,,1,1,,,
DEN040002,4,2,xM1,1,307,,,,,1,,,,
DEN040003,4,3,xS2-3,3,102,224,225,,,1,1,1,,
DEN040004,4,4,xS2-3,3,204,209,226,,,1,1,1,,
DEN040005,4,5,xL1,1,401,,,,,1,,,,
DEN040006,4,6,xS2-3,3,109,218,312,,,1,1,1,,
DEN040007,4,7,xS1,1,101,,,,,1,,,,
DEN040008,4,8,xS1,1,220,,,,,1,,,,
DEN040009,4,9,xS1,1,107,,,,,1,,,,
DEN040010,4,10,xS1,1,207,,,,,1,,,,
DEN040011,4,11,xS1,1,211,,,,,1,,,,
DEN040012,4,12,xS1,1,202,,,,,1,,,,
DEN040013,4,13,xM1,1,304,,,,,1,,,,
DEN040014,4,14,xS1,1,216,,,,,1,,,,
DEN040015,4,15,xL1,1,404,,,,,1,,,,
DEN040016,4,16,xS1,1,219,,,,,1,,,,
DEN040017,4,17,xS4-5,5,103,213,214,215,217,1,1,1,1,1
DEN040018,4,18,xS4-5,5,106,208,210,221,223,1,1,1,1,1
DEN040019,4,19,xS4-5,5,105,201,203,206,222,1,1,1,1,1
DEN040020,4,20,xM1,1,308,,,,,1,,,,
DEN050001,5,1,xS2-3,3,105,224,310,,,1,1,1,,
DEN050002,5,2,xS2-3,2,207,303,,,,1,1,,,
DEN050003,5,3,xM1,1,301,,,,,1,,,,
DEN050004,5,4,xS2-3,3,201,202,204,,,1,1,1,,
DEN050005,5,5,xS2-3,2,203,311,,,,1,1,,,
DEN050006,5,6,xS2-3,3,306,309,312,,,1,1,1,,
DEN050007,5,7,xS1,1,218,,,,,1,,,,
DEN050008,5,8,xS1,1,221,,,,,1,,,,
DEN050009,5,9,xL1,1,403,,,,,1,,,,
DEN050010,5,10,xL1,1,404,,,,,1,,,,
DEN050011,5,11,xS2-3,2,211,217,,,,1,1,,,
DEN050012,5,12,xM1,1,304,,,,,1,,,,
DEN050013,5,13,xL1,1,401,,,,,1,,,,
DEN050014,5,14,xS1,1,205,,,,,1,,,,
DEN050015,5,15,xS2-3,2,102,305,,,,1,1,,,
DEN050016,5,16,xL1,1,402,,,,,1,,,,
DEN050017,5,17,xS1,1,219,,,,,1,,,,
DEN050018,5,18,xL1,1,601,,,,,1,,,,
DEN050019,5,19,xL1,1,501,,,,,1,,,,
DEN050020,5,20,xM1,1,308,,,,,1,,,,
