sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,M1,1,302,,,,,1,,,,
DEN010002,1,2,M3,3,301,317,401,,,1,1,1,,
DEN010003,1,3,M2,2,314,316,,,,1,1,,,
DEN010004,1,4,M5,5,304,306,309,404,405,1,1,1,1,1
DEN010005,1,5,S1,1,216,,,,,1,,,,
DEN010006,1,6,S2,2,212,221,,,,1,1,,,
DEN010007,1,7,M1,1,406,,,,,1,,,,
DEN010008,1,8,S5,14,110,112,210,214,218,10,1,1,1,1
DEN010009,1,9,MIX2,2,227,308,,,,1,1,,,
DEN010010,1,10,M1,1,311,,,,,1,,,,
DEN010011,1,11,M1,1,307,,,,,1,,,,
DEN010012,1,12,S2,2,206,224,,,,1,1,,,
DEN010013,1,13,M3,3,305,315,403,,,1,1,1,,
DEN010014,1,14,S1,1,207,,,,,1,,,,
DEN010015,1,15,S4,4,204,205,222,223,,1,1,1,1,
DEN010016,1,16,S1,1,231,,,,,1,,,,
DEN010017,1,17,M1,1,312,,,,,1,,,,
DEN010018,1,18,M3,3,303,310,313,,,1,1,1,,
DEN010019,1,19,M1,1,402,,,,,1,,,,
DEN010020,1,20,S2,2,103,229,,,,1,1,,,
DEN020001,2,1,S2,2,104,220,,,,1,1,,,
DEN020002,2,2,MIX2,2,212,301,,,,1,1,,,
DEN020003,2,3,S1,1,115,,,,,1,,,,
DEN020004,2,4,S2,2,213,232,,,,1,1,,,
DEN020005,2,5,S1,1,226,,,,,1,,,,
DEN020006,2,6,S1,1,217,,,,,1,,,,
DEN020007,2,7,S2,2,205,219,,,,1,1,,,
DEN020008,2,8,S4,4,112,203,215,228,,1,1,1,1,
DEN020009,2,9,S3,3,225,227,231,,,1,1,1,,
DEN020010,2,10,M1,1,309,,,,,1,,,,
DEN020011,2,11,S1,1,113,,,,,1,,,,
DEN020012,2,12,M3,3,302,310,316,,,1,1,1,,
DEN020013,2,13,S1,1,102,,,,,1,,,,
DEN020014,2,14,MIX3,3,109,201,311,,,1,1,1,,
DEN020015,2,15,M1,1,305,,,,,1,,,,
DEN020016,2,16,M1,1,406,,,,,1,,,,
DEN020017,2,17,M1,1,304,,,,,1,,,,
DEN020018,2,18,M1,1,404,,,,,1,,,,
DEN020019,2,19,M1,1,306,,,,,1,,,,
DEN020020,2,20,S2,2,204,207,,,,1,1,,,
DEN030001,3,1,S2,2,101,224,,,,1,1,,,
DEN030002,3,2,S4,4,104,106,205,207,,1,1,1,1,
DEN030003,3,3,M5,5,303,313,316,317,403,1,1,1,1,1
DEN030004,3,4,S2,2,103,219,,,,1,1,,,
DEN030005,3,5,MIX4,4,109,209,230,307,,1,1,1,1,
DEN030006,3,6,S2,2,213,228,,,,1,1,,,
DEN030007,3,7,S1,1,225,,,,,1,,,,
DEN030008,3,8,M5,5,301,314,401,404,405,1,1,1,1,1
DEN030009,3,9,S2,2,108,112,,,,1,1,,,
DEN030010,3,10,M1,1,309,,,,,1,,,,
DEN030011,3,11,S1,1,215,,,,,1,,,,
DEN030012,3,12,M1,1,406,,,,,1,,,,
DEN030013,3,13,S1,1,111,,,,,1,,,,
DEN030014,3,14,S2,2,105,223,,,,1,1,,,
DEN030015,3,15,S1,1,113,,,,,1,,,,
DEN030016,3,16,S2,2,114,220,,,,1,1,,,
DEN030017,3,17,M1,1,304,,,,,1,,,,
DEN030018,3,18,S2,2,231,232,,,,1,1,,,
DEN030019,3,19,M1,1,311,,,,,1,,,,
DEN030020,3,20,S2,2,217,229,,,,1,1,,,
DEN040001,4,1,M1,1,307,,,,,1,,,,
DEN040002,4,2,M2,2,309,316,,,,1,1,,,
DEN040003,4,3,MIX3,3,102,306,314,,,1,1,1,,
DEN040004,4,4,S2,2,218,232,,,,1,1,,,
DEN040005,4,5,S1,1,211,,,,,1,,,,
DEN040006,4,6,M2,2,315,406,,,,1,1,,,
DEN040007,4,7,MIX2,2,207,311,,,,1,1,,,
DEN040008,4,8,S2,11,110,222,,,,10,1,,,
DEN040009,4,9,S1,1,220,,,,,1,,,,
DEN040010,4,10,M1,1,404,,,,,1,,,,
DEN040011,4,11,M1,1,303,,,,,1,,,,
DEN040012,4,12,M1,1,301,,,,,1,,,,
DEN040013,4,13,S2,2,208,230,,,,1,1,,,
DEN040014,4,14,S5,5,108,111,113,205,216,1,1,1,1,1
DEN040015,4,15,M1,1,308,,,,,1,,,,
DEN040016,4,16,M2,2,317,401,,,,1,1,,,
DEN040017,4,17,M1,1,402,,,,,1,,,,
DEN040018,4,18,S2,2,101,225,,,,1,1,,,
DEN040019,4,19,M2,2,302,312,,,,1,1,,,
DEN040020,4,20,L1,1,501,,,,,1,,,,
DEN050001,5,1,S4,4,106,202,203,210,,1,1,1,1,
DEN050002,5,2,M3,3,315,317,402,,,1,1,1,,
DEN050003,5,3,S4,4,107,214,216,217,,1,1,1,1,
DEN050004,5,4,L1,1,601,,,,,1,,,,
DEN050005,5,5,S3,3,113,114,211,,,1,1,1,,
DEN050006,5,6,L1,1,602,,,,,1,,,,
DEN050007,5,7,M2,2,304,406,,,,1,1,,,
DEN050008,5,8,S2,2,108,222,,,,1,1,,,
DEN050009,5,9,S3,3,102,209,213,,,1,1,1,,
DEN050010,5,10,S2,2,206,208,,,,1,1,,,
DEN050011,5,11,S1,1,232,,,,,1,,,,
DEN050012,5,12,L2,2,502,503,,,,1,1,,,
DEN050013,5,13,S2,2,101,231,,,,1,1,,,
DEN050014,5,14,M3,3,302,316,401,,,1,1,1,,
DEN050015,5,15,M1,1,305,,,,,1,,,,
DEN050016,5,16,S3,3,201,221,226,,,1,1,1,,
DEN050017,5,17,M1,1,301,,,,,1,,,,
DEN050018,5,18,S2,2,115,230,,,,1,1,,,
DEN050019,5,19,M1,1,314,,,,,1,,,,
DEN050020,5,20,M2,2,306,403,,,,1,1,,,
