sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,M1,1,312,,,,,1,,,,
DEN010002,1,2,S4,13,110,211,225,226,,10,1,1,1,
DEN010003,1,3,M1,1,404,,,,,1,,,,
DEN010004,1,4,S5,5,102,204,205,221,227,1,1,1,1,1
DEN010005,1,5,M1,1,301,,,,,1,,,,
DEN010006,1,6,S1,1,216,,,,,1,,,,
DEN010007,1,7,M4,4,307,308,314,317,,1,1,1,1,
DEN010008,1,8,M2,2,302,305,,,,1,1,,,
DEN010009,1,9,S2,2,109,203,,,,1,1,,,
DEN010010,1,10,M1,1,402,,,,,1,,,,
DEN010011,1,11,MIX3,3,101,114,311,,,1,1,1,,
DEN010012,1,12,S4,4,105,209,210,215,,1,1,1,1,
DEN010013,1,13,S1,1,207,,,,,1,,,,
DEN010014,1,14,S2,2,202,232,,,,1,1,,,
DEN010015,1,15,S1,1,230,,,,,1,,,,
DEN010016,1,16,L2,2,502,601,,,,1,1,,,
DEN010017,1,17,S2,2,108,222,,,,1,1,,,
DEN010018,1,18,MIX3,3,217,309,316,,,1,1,1,,
DEN010019,1,19,S3,3,106,214,229,,,1,1,1,,
DEN010020,1,20,M2,2,306,401,,,,1,1,,,
DEN020001,2,1,M1,1,312,,,,,1,,,,
DEN020002,2,2,M5,5,304,306,307,313,404,1,1,1,1,1
DEN020003,2,3,S1,1,104,,,,,1,,,,
DEN020004,2,4,S2,2,107,209,,,,1,1,,,
DEN020005,2,5,M3,3,301,305,405,,,1,1,1,,
DEN020006,2,6,L2,2,601,602,,,,1,1,,,
DEN020007,2,7,S2,11,110,214,,,,10,1,,,
DEN020008,2,8,M1,1,316,,,,,1,,,,
DEN020009,2,9,S1,1,228,,,,,1,,,,
DEN020010,2,10,M3,3,302,315,402,,,1,1,1,,
DEN020011,2,11,M1,1,314,,,,,1,,,,
DEN020012,2,12,S1,1,227,,,,,1,,,,
DEN020013,2,13,M2,2,310,403,,,,1,1,,,
DEN020014,2,14,M1,1,311,,,,,1,,,,
DEN020015,2,15,M1,1,406,,,,,1,,,,
DEN020016,2,16,M1,1,401,,,,,1,,,,
DEN020017,2,17,M3,3,308,309,317,,,1,1,1,,
DEN020018,2,18,L2,2,502,503,,,,1,1,,,
DEN020019,2,19,M1,1,303,,,,,1,,,,
DEN020020,2,20,S1,1,101,,,,,1,,,,
DEN030001,3,1,S4,6,112,218,223,232,,3,1,1,1,
DEN030002,3,2,M3,3,301,313,316,,,1,1,1,,
DEN030003,3,3,M1,1,310,,,,,1,,,,
DEN030004,3,4,M3,3,307,402,403,,,1,1,1,,
DEN030005,3,5,S1,1,114,,,,,1,,,,
DEN030006,3,6,M2,2,305,306,,,,1,1,,,
DEN030007,3,7,M4,4,304,308,314,315,,1,1,1,1,
DEN030008,3,8,S3,4,113,201,215,,,2,1,1,,
DEN030009,3,9,M1,1,303,,,,,1,,,,
DEN030010,3,10,L2,2,501,602,,,,1,1,,,
DEN030011,3,11,M1,1,404,,,,,1,,,,
DEN030012,3,12,M2,2,302,311,,,,1,1,,,
