sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,xS2-3,2,103,209,,,,1,1,,,
DEN010002,1,2,xL1,1,601,,,,,1,,,,
DEN010003,1,3,xS1,1,225,,,,,1,,,,
DEN010004,1,4,xL1,1,501,,,,,1,,,,
DEN010005,1,5,xS1,1,109,,,,,1,,,,
DEN010006,1,6,xS2-3,3,101,215,223,,,1,1,1,,
DEN010007,1,7,xL1,1,404,,,,,1,,,,
DEN010008,1,8,xM1,1,302,,,,,1,,,,
DEN010009,1,9,xM1,1,306,,,,,1,,,,
DEN010010,1,10,xS2-3,3,202,204,221,,,1,1,1,,
DEN010011,1,11,xM2-5,5,308,310,311,312,401,1,1,1,1,1
DEN010012,1,12,xM2-5,2,303,304,,,,1,1,,,
DEN010013,1,13,xL1,1,402,,,,,1,,,,
DEN010014,1,14,xS1,1,207,,,,,1,,,,
DEN010015,1,15,xL1,1,403,,,,,1,,,,
DEN010016,1,16,xS2-3,2,224,301,,,,1,1,,,
DEN010017,1,17,xS2-3,3,203,214,309,,,1,1,1,,
DEN010018,1,18,xS1,1,213,,,,,1,,,,
DEN010019,1,19,xM1,1,307,,,,,1,,,,
DEN010020,1,20,xM1,1,305,,,,,1,,,,
DEN020001,2,1,xM2-5,5,301,305,306,311,404,1,1,1,1,1
DEN020002,2,2,xS2-3,2,206,226,,,,1,1,,,
DEN020003,2,3,xS2-3,2,217,219,,,,1,1,,,
DEN020004,2,4,xL1,1,403,,,,,1,,,,
DEN020005,2,5,xS1,1,204,,,,,1,,,,
DEN020006,2,6,xS2-3,2,108,208,,,,1,1,,,
DEN020007,2,7,xS1,1,225,,,,,1,,,,
DEN020008,2,8,xS2-3,2,209,303,,,,1,1,,,
DEN020009,2,9,xM1,1,312,,,,,1,,,,
DEN020010,2,10,xS1,1,212,,,,,1,,,,
DEN020011,2,11,xL1,1,401,,,,,1,,,,
DEN020012,2,12,xS1,1,106,,,,,1,,,,
DEN020013,2,13,xL1,1,501,,,,,1,,,,
DEN020014,2,14,xM1,1,307,,,,,1,,,,
DEN020015,2,15,xL1,1,601,,,,,1,,,,
DEN020016,2,16,xS2-3,3,109,203,222,,,1,1,1,,
DEN020017,2,17,xS2-3,2,107,205,,,,1,1,,,
DEN020018,2,18,xM1,1,302,,,,,1,,,,
DEN020019,2,19,xS2-3,2,104,215,,,,1,1,,,
DEN020020,2,20,xS2-3,3,211,221,310,,,1,1,1,,
DEN030001,3,1,xL1,1,402,,,,,1,,,,
DEN030002,3,2,xM1,1,308,,,,,1,,,,
DEN030003,3,3,xM1,1,302,,,,,1,,,,
DEN030004,3,4,xM1,1,310,,,,,1,,,,
DEN030005,3,5,xS1,1,210,,,,,1,,,,
DEN030006,3,6,xS1,1,108,,,,,1,,,,
DEN030007,3,7,xM2-5,4,301,305,307,404,,1,1,1,1,
DEN030008,3,8,xS2-3,3,103,204,217,,,1,1,1,,
DEN030009,3,9,xS2-3,3,219,222,304,,,1,1,1,,
DEN030010,3,10,xS1,1,212,,,,,1,,,,
DEN030011,3,11,xS2-3,2,202,206,,,,1,1,,,
DEN030012,3,12,xS1,1,205,,,,,1,,,,
DEN030013,3,13,xM2-5,3,309,312,401,,,1,1,1,,
DEN030014,3,14,xS1,1,214,,,,,1,,,,
DEN030015,3,15,xL1,1,601,,,,,1,,,,
DEN030016,3,16,xL1,1,501,,,,,1,,,,
DEN030017,3,17,xM2-5,4,303,306,311,403,,1,1,1,1,
DEN030018,3,18,xS1,1,105,,,,,1,,,,
DEN030019,3,19,xS1,1,213,,,,,1,,,,
DEN030020,3,20,xS2-3,2,207,220,,,,1,1,,,
DEN040001,4,1,xM1,1,309,,,,,1,,,,
DEN040002,4,2,xM1,1,311,,,,,1,,,,
DEN040003,4,3,xM1,1,301,,,,,1,,,,
DEN040004,4,4,xL1,1,403,,,,,1,,,,
DEN040005,4,5,xS2-3,2,103,205,,,,1,1,,,
DEN040006,4,6,xS1,1,208,,,,,1,,,,
DEN040007,4,7,xS2-3,3,105,202,302,,,1,1,1,,
DEN040008,4,8,xS2-3,3,207,217,304,,,1,1,1,,
DEN040009,4,9,xS1,1,224,,,,,1,,,,
DEN040010,4,10,xM1,1,308,,,,,1,,,,
DEN040011,4,11,xL1,1,404,,,,,1,,,,
DEN040012,4,12,xM1,1,310,,,,,1,,,,
DEN040013,4,13,xS1,1,204,,,,,1,,,,
DEN040014,4,14,xS2-3,3,201,212,305,,,1,1,1,,
DEN040015,4,15,xS2-3,2,218,312,,,,1,1,,,
DEN040016,4,16,xS2-3,2,106,215,,,,1,1,,,
