sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,S1,3,112,,,,,3,,,,
DEN010002,1,2,M1,1,304,,,,,1,,,,
DEN010003,1,3,MIX2,2,111,306,,,,1,1,,,
DEN010004,1,4,S2,2,108,217,,,,1,1,,,
DEN010005,1,5,S2,2,218,219,,,,1,1,,,
DEN010006,1,6,M1,1,311,,,,,1,,,,
DEN010007,1,7,M2,2,302,308,,,,1,1,,,
DEN010008,1,8,M1,1,316,,,,,1,,,,
DEN010009,1,9,L4,4,501,502,503,601,,1,1,1,1,
DEN010010,1,10,M1,1,403,,,,,1,,,,
DEN010011,1,11,M3,3,303,307,309,,,1,1,1,,
DEN010012,1,12,M1,1,305,,,,,1,,,,
DEN010013,1,13,M1,1,405,,,,,1,,,,
DEN010014,1,14,S3,3,115,215,216,,,1,1,1,,
DEN010015,1,15,S2,2,225,228,,,,1,1,,,
DEN010016,1,16,S1,1,202,,,,,1,,,,
DEN010017,1,17,L1,1,602,,,,,1,,,,
DEN010018,1,18,M1,1,314,,,,,1,,,,
DEN010019,1,19,MIX3,3,203,312,315,,,1,1,1,,
DEN010020,1,20,M1,1,310,,,,,1,,,,
DEN020001,2,1,S1,1,225,,,,,1,,,,
DEN020002,2,2,M1,1,401,,,,,1,,,,
DEN020003,2,3,M1,1,405,,,,,1,,,,
DEN020004,2,4,S2,2,221,222,,,,1,1,,,
DEN020005,2,5,S3,3,213,214,231,,,1,1,1,,
DEN020006,2,6,L2,2,502,602,,,,1,1,,,
DEN020007,2,7,S2,2,103,207,,,,1,1,,,
DEN020008,2,8,M1,1,404,,,,,1,,,,
DEN020009,2,9,M2,2,316,402,,,,1,1,,,
DEN020010,2,10,S2,2,107,212,,,,1,1,,,
DEN020011,2,11,S1,1,101,,,,,1,,,,
DEN020012,2,12,S1,1,208,,,,,1,,,,
DEN020013,2,13,M1,1,403,,,,,1,,,,
DEN020014,2,14,M1,1,302,,,,,1,,,,
DEN020015,2,15,M1,1,306,,,,,1,,,,
DEN020016,2,16,M1,1,307,,,,,1,,,,
DEN020017,2,17,L1,1,503,,,,,1,,,,
DEN020018,2,18,L2,2,501,601,,,,1,1,,,
DEN020019,2,19,S1,1,216,,,,,1,,,,
DEN020020,2,20,M2,2,309,310,,,,1,1,,,
DEN030001,3,1,M1,1,303,,,,,1,,,,
DEN030002,3,2,L4,4,501,502,601,602,,1,1,1,1,
DEN030003,3,3,M1,1,302,,,,,1,,,,
DEN030004,3,4,S1,1,219,,,,,1,,,,
DEN030005,3,5,M4,4,305,311,401,403,,1,1,1,1,
DEN030006,3,6,S2,2,103,109,,,,1,1,,,
DEN030007,3,7,M2,2,301,404,,,,1,1,,,
DEN030008,3,8,S1,1,211,,,,,1,,,,
DEN030009,3,9,M1,1,310,,,,,1,,,,
DEN030010,3,10,M1,1,405,,,,,1,,,,
DEN030011,3,11,M5,5,304,312,313,402,406,1,1,1,1,1
DEN030012,3,12,M1,1,308,,,,,1,,,,
DEN030013,3,13,S4,4,105,217,220,229,,1,1,1,1,
DEN030014,3,14,M3,3,307,309,316,,,1,1,1,,
DEN030015,3,15,M1,1,314,,,,,1,,,,
DEN030016,3,16,M2,2,306,317,,,,1,1,,,
DEN030017,3,17,S1,1,205,,,,,1,,,,
DEN030018,3,18,S1,1,208,,,,,1,,,,
DEN030019,3,19,M1,1,315,,,,,1,,,,
DEN030020,3,20,S2,2,209,228,,,,1,1,,,
DEN040001,4,1,L4,4,502,503,601,602,,1,1,1,1,
DEN040002,4,2,S2,2,108,220,,,,1,1,,,
DEN040003,4,3,M2,2,305,306,,,,1,1,,,
