sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,xS2-3,2,225,302,,,,1,1,,,
DEN010002,1,2,xS2-3,2,201,301,,,,1,1,,,
DEN010003,1,3,xS4-5,5,104,207,213,222,223,1,1,1,1,1
DEN010004,1,4,xM1,1,309,,,,,1,,,,
DEN010005,1,5,xS2-3,2,203,224,,,,1,1,,,
DEN010006,1,6,xS4-5,5,101,202,206,208,210,1,1,1,1,1
DEN010007,1,7,xM2-5,2,310,402,,,,1,1,,,
DEN010008,1,8,xS4-5,4,108,209,215,216,,1,1,1,1,
DEN010009,1,9,xS1,1,214,,,,,1,,,,
DEN010010,1,10,xS2-3,2,304,311,,,,1,1,,,
DEN010011,1,11,xL1,1,401,,,,,1,,,,
DEN010012,1,12,xS1,1,220,,,,,1,,,,
DEN010013,1,13,xM1,1,305,,,,,1,,,,
DEN010014,1,14,xS1,1,204,,,,,1,,,,
DEN010015,1,15,xS2-3,2,217,226,,,,1,1,,,
DEN010016,1,16,xM1,1,312,,,,,1,,,,
DEN010017,1,17,xM2-5,4,303,308,403,404,,1,1,1,1,
DEN010018,1,18,xS1,1,221,,,,,1,,,,
DEN010019,1,19,xS1,1,107,,,,,1,,,,
DEN010020,1,20,xM2-5,2,306,307,,,,1,1,,,
DEN020001,2,1,xS2-3,2,104,106,,,,1,1,,,
DEN020002,2,2,xS1,1,204,,,,,1,,,,
DEN020003,2,3,xS2-3,2,205,304,,,,1,1,,,
DEN020004,2,4,xM1,1,312,,,,,1,,,,
DEN020005,2,5,xS2-3,3,107,207,220,,,1,1,1,,
DEN020006,2,6,xS1,1,225,,,,,1,,,,
DEN020007,2,7,xM1,1,301,,,,,1,,,,
DEN020008,2,8,xS2-3,2,201,213,,,,1,1,,,
DEN020009,2,9,xS2-3,2,226,303,,,,1,1,,,
DEN020010,2,10,xM1,1,309,,,,,1,,,,
DEN020011,2,11,xM1,1,307,,,,,1,,,,
DEN020012,2,12,xS1,1,214,,,,,1,,,,
DEN020013,2,13,xS2-3,2,105,221,,,,1,1,,,
DEN020014,2,14,xM1,1,310,,,,,1,,,,
DEN020015,2,15,xS1,1,101,,,,,1,,,,
DEN020016,2,16,xS2-3,3,103,302,308,,,1,1,1,,
DEN020017,2,17,xS2-3,3,216,223,305,,,1,1,1,,
DEN020018,2,18,xS1,1,203,,,,,1,,,,
DEN020019,2,19,xS1,1,109,,,,,1,,,,
DEN020020,2,20,xM1,1,306,,,,,1,,,,
DEN030001,3,1,xS1,1,102,,,,,1,,,,
DEN030002,3,2,xS2-3,3,219,224,311,,,1,1,1,,
DEN030003,3,3,xS2-3,2,212,305,,,,1,1,,,
DEN030004,3,4,xS2-3,2,109,304,,,,1,1,,,
DEN030005,3,5,xS1,1,214,,,,,1,,,,
DEN030006,3,6,xM1,1,308,,,,,1,,,,
DEN030007,3,7,xL1,1,402,,,,,1,,,,
DEN030008,3,8,xM2-5,5,301,302,307,309,403,1,1,1,1,1
DEN030009,3,9,xS1,1,105,,,,,1,,,,
DEN030010,3,10,xS1,1,108,,,,,1,,,,
DEN030011,3,11,xS4-5,5,103,202,208,211,223,1,1,1,1,1
DEN030012,3,12,xM2-5,3,303,310,401,,,1,1,1,,
DEN030013,3,13,xS2-3,3,206,217,218,,,1,1,1,,
DEN030014,3,14,xS1,1,204,,,,,1,,,,
DEN030015,3,15,xS2-3,2,216,312,,,,1,1,,,
DEN030016,3,16,xL1,1,404,,,,,1,,,,
DEN030017,3,17,xS1,1,210,,,,,1,,,,
DEN030018,3,18,xS1,1,209,,,,,1,,,,
DEN030019,3,19,xS1,1,226,,,,,1,,,,
DEN030020,3,20,xS2-3,3,213,221,222,,,1,1,1,,
DEN040001,4,1,xS2-3,3,208,215,226,,,1,1,1,,
DEN040002,4,2,xS1,1,107,,,,,1,,,,
DEN040003,4,3,xS4-5,4,109,202,216,220,,1,1,1,1,
DEN040004,4,4,xS4-5,4,104,108,203,218,,1,1,1,1,
DEN040005,4,5,xS4-5,4,206,210,213,221,,1,1,1,1,
DEN040006,4,6,xS2-3,3,204,205,309,,,1,1,1,,
DEN040007,4,7,xM1,1,301,,,,,1,,,,
DEN040008,4,8,xS2-3,2,103,222,,,,1,1,,,
DEN040009,4,9,xS2-3,3,106,211,219,,,1,1,1,,
DEN040010,4,10,xM1,1,312,,,,,1,,,,
DEN040011,4,11,xL1,1,403,,,,,1,,,,
