sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,xM1,1,312,,,,,1,,,,
DEN010002,1,2,xS1,1,101,,,,,1,,,,
DEN010003,1,3,xS4-5,4,202,212,215,217,,1,1,1,1,
DEN010004,1,4,xS2-3,2,208,304,,,,1,1,,,
DEN010005,1,5,xS4-5,4,104,206,211,226,,1,1,1,1,
DEN010006,1,6,xS2-3,2,107,207,,,,1,1,,,
DEN010007,1,7,xS1,1,219,,,,,1,,,,
DEN010008,1,8,xL1,1,404,,,,,1,,,,
DEN010009,1,9,xM2-5,4,303,305,310,311,,1,1,1,1,
DEN010010,1,10,xS2-3,2,216,307,,,,1,1,,,
DEN010011,1,11,xM1,1,301,,,,,1,,,,
DEN010012,1,12,xS2-3,3,201,224,306,,,1,1,1,,
DEN010013,1,13,xM1,1,302,,,,,1,,,,
DEN010014,1,14,xM2-5,3,309,401,403,,,1,1,1,,
DEN010015,1,15,xL1,1,601,,,,,1,,,,
DEN010016,1,16,xS2-3,3,210,213,214,,,1,1,1,,
DEN010017,1,17,xS2-3,2,220,308,,,,1,1,,,
DEN010018,1,18,xS1,1,103,,,,,1,,,,
DEN010019,1,19,xL1,1,402,,,,,1,,,,
DEN010020,1,20,xS1,1,222,,,,,1,,,,
DEN020001,2,1,xL1,1,403,,,,,1,,,,
DEN020002,2,2,xS2-3,2,102,105,,,,1,1,,,
DEN020003,2,3,xS2-3,3,107,207,223,,,1,1,1,,
DEN020004,2,4,xS2-3,2,221,305,,,,1,1,,,
DEN020005,2,5,xS1,1,209,,,,,1,,,,
DEN020006,2,6,xS1,1,220,,,,,1,,,,
DEN020007,2,7,xS2-3,2,213,302,,,,1,1,,,
DEN020008,2,8,xS1,1,202,,,,,1,,,,
DEN020009,2,9,xM1,1,310,,,,,1,,,,
DEN020010,2,10,xM1,1,301,,,,,1,,,,
DEN020011,2,11,xM1,1,311,,,,,1,,,,
DEN020012,2,12,xM2-5,2,306,312,,,,1,1,,,
DEN020013,2,13,xS4-5,4,208,212,218,224,,1,1,1,1,
DEN020014,2,14,xS2-3,3,206,222,303,,,1,1,1,,
DEN020015,2,15,xS2-3,2,109,211,,,,1,1,,,
DEN020016,2,16,xM1,1,304,,,,,1,,,,
DEN020017,2,17,xM1,1,308,,,,,1,,,,
DEN020018,2,18,xS1,1,103,,,,,1,,,,
DEN020019,2,19,xS2-3,3,214,217,309,,,1,1,1,,
DEN020020,2,20,xS1,1,203,,,,,1,,,,
DEN030001,3,1,xS2-3,2,211,215,,,,1,1,,,
DEN030002,3,2,xS1,1,224,,,,,1,,,,
DEN030003,3,3,xS1,1,105,,,,,1,,,,
DEN030004,3,4,xS1,1,214,,,,,1,,,,
DEN030005,3,5,xM1,1,303,,,,,1,,,,
DEN030006,3,6,xS1,1,225,,,,,1,,,,
DEN030007,3,7,xS2-3,2,103,306,,,,1,1,,,
DEN030008,3,8,xL1,1,401,,,,,1,,,,
DEN030009,3,9,xS1,1,108,,,,,1,,,,
DEN030010,3,10,xS2-3,3,104,223,226,,,1,1,1,,
DEN030011,3,11,xS2-3,2,106,305,,,,1,1,,,
DEN030012,3,12,xM1,1,301,,,,,1,,,,
DEN030013,3,13,xS1,1,206,,,,,1,,,,
DEN030014,3,14,xL1,1,402,,,,,1,,,,
DEN030015,3,15,xS1,1,109,,,,,1,,,,
DEN030016,3,16,xS1,1,207,,,,,1,,,,
DEN030017,3,17,xL1,1,601,,,,,1,,,,
DEN030018,3,18,xM1,1,307,,,,,1,,,,
DEN030019,3,19,xL1,1,404,,,,,1,,,,
