sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,S2,2,214,231,,,,1,1,,,
DEN010002,1,2,M3,3,304,305,309,,,1,1,1,,
DEN010003,1,3,S2,2,212,219,,,,1,1,,,
DEN010004,1,4,S4,4,102,205,217,221,,1,1,1,1,
DEN010005,1,5,M3,3,301,313,404,,,1,1,1,,
DEN010006,1,6,MIX3,12,110,222,306,,,10,1,1,,
DEN010007,1,7,S1,1,203,,,,,1,,,,
DEN010008,1,8,S3,3,215,216,225,,,1,1,1,,
DEN010009,1,9,M1,1,308,,,,,1,,,,
DEN010010,1,10,S1,1,109,,,,,1,,,,
DEN010011,1,11,M3,3,307,402,403,,,1,1,1,,
DEN010012,1,12,L1,1,601,,,,,1,,,,
DEN010013,1,13,S2,2,111,115,,,,1,1,,,
DEN010014,1,14,M1,1,314,,,,,1,,,,
DEN010015,1,15,S1,1,223,,,,,1,,,,
DEN010016,1,16,S1,1,226,,,,,1,,,,
DEN010017,1,17,M1,1,302,,,,,1,,,,
DEN010018,1,18,M1,1,317,,,,,1,,,,
DEN010019,1,19,M1,1,401,,,,,1,,,,
DEN010020,1,20,S1,1,218,,,,,1,,,,
DEN020001,2,1,M1,1,313,,,,,1,,,,
DEN020002,2,2,S1,1,205,,,,,1,,,,
DEN020003,2,3,S3,12,110,226,231,,,10,1,1,,
DEN020004,2,4,M3,3,312,316,403,,,1,1,1,,
DEN020005,2,5,M1,1,317,,,,,1,,,,
DEN020006,2,6,S2,2,103,220,,,,1,1,,,
DEN020007,2,7,S1,1,211,,,,,1,,,,
DEN020008,2,8,S1,1,222,,,,,1,,,,
DEN020009,2,9,M1,1,302,,,,,1,,,,
DEN020010,2,10,M2,2,401,405,,,,1,1,,,
DEN020011,2,11,S1,1,202,,,,,1,,,,
DEN020012,2,12,S2,2,115,221,,,,1,1,,,
DEN020013,2,13,S1,1,228,,,,,1,,,,
DEN020014,2,14,S2,2,203,224,,,,1,1,,,
DEN020015,2,15,M1,1,306,,,,,1,,,,
DEN020016,2,16,M1,1,406,,,,,1,,,,
DEN020017,2,17,S4,4,107,208,214,219,,1,1,1,1,
DEN020018,2,18,M1,1,314,,,,,1,,,,
DEN020019,2,19,S1,1,207,,,,,1,,,,
DEN020020,2,20,S2,2,216,217,,,,1,1,,,
DEN030001,3,1,S4,4,103,104,106,111,,1,1,1,1,
DEN030002,3,2,MIX3,3,215,313,314,,,1,1,1,,
DEN030003,3,3,L2,2,501,602,,,,1,1,,,
DEN030004,3,4,L3,3,502,503,601,,,1,1,1,,
DEN030005,3,5,M4,4,310,312,404,405,,1,1,1,1,
DEN030006,3,6,M2,2,309,311,,,,1,1,,,
DEN030007,3,7,S1,1,214,,,,,1,,,,
DEN030008,3,8,M3,3,303,316,317,,,1,1,1,,
DEN030009,3,9,M1,1,402,,,,,1,,,,
DEN030010,3,10,S3,3,201,211,225,,,1,1,1,,
DEN030011,3,11,S2,2,207,212,,,,1,1,,,
DEN030012,3,12,M1,1,306,,,,,1,,,,
DEN030013,3,13,M5,5,302,304,308,315,406,1,1,1,1,1
DEN030014,3,14,M1,1,301,,,,,1,,,,
DEN030015,3,15,S5,5,102,107,220,230,232,1,1,1,1,1
DEN030016,3,16,S2,2,209,228,,,,1,1,,,
DEN030017,3,17,M1,1,305,,,,,1,,,,
DEN030018,3,18,S1,1,109,,,,,1,,,,
DEN030019,3,19,M3,3,307,401,403,,,1,1,1,,
DEN030020,3,20,S2,2,216,217,,,,1,1,,,
DEN040001,4,1,M2,2,405,406,,,,1,1,,,
DEN040002,4,2,S2,2,115,211,,,,1,1,,,
DEN040003,4,3,S2,2,106,108,,,,1,1,,,
DEN040004,4,4,M1,1,310,,,,,1,,,,
DEN040005,4,5,M1,1,401,,,,,1,,,,
DEN040006,4,6,L2,2,501,502,,,,1,1,,,
DEN040007,4,7,S4,4,207,208,217,230,,1,1,1,1,
DEN040008,4,8,S1,1,228,,,,,1,,,,
DEN040009,4,9,M1,1,307,,,,,1,,,,
DEN040010,4,10,M2,2,315,403,,,,1,1,,,
DEN040011,4,11,M1,1,314,,,,,1,,,,
DEN040012,4,12,S2,2,209,225,,,,1,1,,,
DEN040013,4,13,M2,2,312,316,,,,1,1,,,
DEN040014,4,14,M1,1,305,,,,,1,,,,
DEN040015,4,15,S1,1,107,,,,,1,,,,
DEN040016,4,16,S3,3,101,103,231,,,1,1,1,,
DEN040017,4,17,M3,3,309,311,317,,,1,1,1,,
DEN040018,4,18,M1,1,313,,,,,1,,,,
DEN040019,4,19,M3,3,301,302,404,,,1,1,1,,
DEN040020,4,20,S1,1,218,,,,,1,,,,
DEN050001,5,1,S1,1,223,,,,,1,,,,
DEN050002,5,2,M2,2,312,313,,,,1,1,,,
DEN050003,5,3,M1,1,303,,,,,1,,,,
DEN050004,5,4,S2,3,101,113,,,,1,2,,,
DEN050005,5,5,S2,2,222,228,,,,1,1,,,
DEN050006,5,6,L2,2,502,601,,,,1,1,,,
DEN050007,5,7,M1,1,315,,,,,1,,,,
DEN050008,5,8,S2,2,201,225,,,,1,1,,,
DEN050009,5,9,M1,1,308,,,,,1,,,,
DEN050010,5,10,M1,1,304,,,,,1,,,,
DEN050011,5,11,M2,2,305,401,,,,1,1,,,
DEN050012,5,12,M2,2,307,310,,,,1,1,,,
DEN050013,5,13,S1,1,103,,,,,1,,,,
DEN050014,5,14,S1,1,108,,,,,1,,,,
DEN050015,5,15,S1,1,115,,,,,1,,,,
DEN050016,5,16,M1,1,402,,,,,1,,,,
DEN050017,5,17,M1,1,405,,,,,1,,,,
DEN050018,5,18,S1,1,107,,,,,1,,,,
DEN050019,5,19,L3,3,501,503,602,,,1,1,1,,
DEN050020,5,20,M3,3,301,302,314,,,1,1,1,,
