sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,xS2-3,2,221,310,,,,1,1,,,
DEN010002,1,2,xS1,1,101,,,,,1,,,,
DEN010003,1,3,xS1,1,109,,,,,1,,,,
DEN010004,1,4,xS1,1,207,,,,,1,,,,
DEN010005,1,5,xL1,1,501,,,,,1,,,,
DEN010006,1,6,xS2-3,3,217,224,306,,,1,1,1,,
DEN010007,1,7,xM2-5,3,301,304,312,,,1,1,1,,
DEN010008,1,8,xM1,1,308,,,,,1,,,,
DEN010009,1,9,xM1,1,302,,,,,1,,,,
DEN010010,1,10,xL1,1,403,,,,,1,,,,
DEN010011,1,11,xL1,1,601,,,,,1,,,,
DEN010012,1,12,xS2-3,2,201,226,,,,1,1,,,
DEN010013,1,13,xS2-3,3,208,223,225,,,1,1,1,,
DEN010014,1,14,xS1,1,219,,,,,1,,,,
DEN010015,1,15,xS2-3,3,107,204,206,,,1,1,1,,
DEN010016,1,16,xM1,1,303,,,,,1,,,,
DEN010017,1,17,xS2-3,3,102,214,309,,,1,1,1,,
DEN010018,1,18,xS2-3,3,202,305,311,,,1,1,1,,
DEN010019,1,19,xS4-5,5,209,210,212,213,220,1,1,1,1,1
DEN010020,1,20,xS1,1,216,,,,,1,,,,
DEN020001,2,1,xL1,1,501,,,,,1,,,,
DEN020002,2,2,xL1,1,404,,,,,1,,,,
DEN020003,2,3,xM1,1,305,,,,,1,,,,
DEN020004,2,4,xS2-3,3,210,223,225,,,1,1,1,,
DEN020005,2,5,xS2-3,2,108,222,,,,1,1,,,
DEN020006,2,6,xM2-5,5,304,306,309,310,402,1,1,1,1,1
DEN020007,2,7,xS2-3,2,214,224,,,,1,1,,,
DEN020008,2,8,xS2-3,2,109,211,,,,1,1,,,
DEN020009,2,9,xS1,1,205,,,,,1,,,,
DEN020010,2,10,xS2-3,3,201,212,308,,,1,1,1,,
DEN020011,2,11,xL1,1,401,,,,,1,,,,
DEN020012,2,12,xS1,1,105,,,,,1,,,,
DEN020013,2,13,xM1,1,302,,,,,1,,,,
DEN020014,2,14,xS2-3,2,208,303,,,,1,1,,,
DEN020015,2,15,xM1,1,307,,,,,1,,,,
DEN020016,2,16,xS1,1,103,,,,,1,,,,
DEN020017,2,17,xM2-5,4,301,311,312,403,,1,1,1,1,
DEN020018,2,18,xS4-5,5,104,106,204,217,219,1,1,1,1,1
DEN020019,2,19,xS2-3,3,209,213,216,,,1,1,1,,
DEN020020,2,20,xL1,1,601,,,,,1,,,,
DEN030001,3,1,xS2-3,3,224,225,310,,,1,1,1,,
DEN030002,3,2,xS1,1,201,,,,,1,,,,
DEN030003,3,3,xS1,1,219,,,,,1,,,,
DEN030004,3,4,xS1,1,105,,,,,1,,,,
DEN030005,3,5,xS1,1,101,,,,,1,,,,
DEN030006,3,6,xS2-3,3,102,211,222,,,1,1,1,,
DEN030007,3,7,xL1,1,501,,,,,1,,,,
DEN030008,3,8,xS1,1,212,,,,,1,,,,
DEN030009,3,9,xM2-5,2,303,304,,,,1,1,,,
DEN030010,3,10,xL1,1,601,,,,,1,,,,
DEN030011,3,11,xS2-3,3,210,220,221,,,1,1,1,,
DEN030012,3,12,xL1,1,401,,,,,1,,,,
DEN030013,3,13,xS4-5,5,106,203,206,207,213,1,1,1,1,1
DEN030014,3,14,xS2-3,3,109,309,312,,,1,1,1,,
