sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,L2,2,502,503,,,,1,1,,,
DEN010002,1,2,S1,1,222,,,,,1,,,,
DEN010003,1,3,S2,2,104,224,,,,1,1,,,
DEN010004,1,4,M1,1,307,,,,,1,,,,
DEN010005,1,5,M2,2,305,406,,,,1,1,,,
DEN010006,1,6,M2,2,304,313,,,,1,1,,,
DEN010007,1,7,M1,1,315,,,,,1,,,,
DEN010008,1,8,M1,1,403,,,,,1,,,,
DEN010009,1,9,L3,3,501,601,602,,,1,1,1,,
DEN010010,1,10,M2,2,309,316,,,,1,1,,,
DEN010011,1,11,M1,1,303,,,,,1,,,,
DEN010012,1,12,S1,1,227,,,,,1,,,,
DEN010013,1,13,M1,1,302,,,,,1,,,,
DEN010014,1,14,M2,2,312,404,,,,1,1,,,
DEN010015,1,15,M1,1,311,,,,,1,,,,
DEN010016,1,16,M5,5,308,310,314,317,405,1,1,1,1,1
DEN010017,1,17,M1,1,401,,,,,1,,,,
DEN010018,1,18,M1,1,306,,,,,1,,,,
DEN010019,1,19,S2,2,230,232,,,,1,1,,,
DEN010020,1,20,S2,2,204,228,,,,1,1,,,
DEN020001,2,1,M1,1,306,,,,,1,,,,
DEN020002,2,2,M1,1,405,,,,,1,,,,
DEN020003,2,3,S1,10,110,,,,,10,,,,
DEN020004,2,4,S2,2,103,204,,,,1,1,,,
DEN020005,2,5,M2,2,301,302,,,,1,1,,,
DEN020006,2,6,S2,2,207,213,,,,1,1,,,
DEN020007,2,7,M1,1,402,,,,,1,,,,
DEN020008,2,8,S1,1,208,,,,,1,,,,
DEN020009,2,9,M2,2,308,404,,,,1,1,,,
DEN020010,2,10,M2,2,316,406,,,,1,1,,,
DEN020011,2,11,M1,1,312,,,,,1,,,,
DEN020012,2,12,MIX4,4,105,229,232,303,,1,1,1,1,
DEN020013,2,13,M1,1,311,,,,,1,,,,
DEN020014,2,14,M1,1,314,,,,,1,,,,
DEN020015,2,15,M1,1,304,,,,,1,,,,
DEN020016,2,16,M2,2,313,403,,,,1,1,,,
DEN020017,2,17,S1,1,216,,,,,1,,,,
DEN020018,2,18,S4,4,104,115,206,228,,1,1,1,1,
DEN020019,2,19,S2,2,201,227,,,,1,1,,,
DEN020020,2,20,S5,5,108,203,212,223,226,1,1,1,1,1
DEN030001,3,1,S1,1,103,,,,,1,,,,
DEN030002,3,2,S2,2,205,222,,,,1,1,,,
DEN030003,3,3,S2,2,115,225,,,,1,1,,,
DEN030004,3,4,M1,1,405,,,,,1,,,,
DEN030005,3,5,M2,2,305,401,,,,1,1,,,
DEN030006,3,6,M1,1,308,,,,,1,,,,
DEN030007,3,7,S1,1,214,,,,,1,,,,
DEN030008,3,8,L2,2,501,502,,,,1,1,,,
DEN030009,3,9,M3,3,310,311,402,,,1,1,1,,
DEN030010,3,10,M2,2,303,406,,,,1,1,,,
DEN030011,3,11,M1,1,315,,,,,1,,,,
DEN030012,3,12,S1,1,213,,,,,1,,,,
DEN030013,3,13,S2,2,107,220,,,,1,1,,,
DEN030014,3,14,S2,2,207,226,,,,1,1,,,
DEN030015,3,15,M3,3,304,306,316,,,1,1,1,,
DEN030016,3,16,L1,1,602,,,,,1,,,,
DEN030017,3,17,MIX2,2,108,313,,,,1,1,,,
DEN030018,3,18,S2,2,206,219,,,,1,1,,,
DEN030019,3,19,M2,2,314,403,,,,1,1,,,
DEN030020,3,20,M2,2,307,312,,,,1,1,,,
DEN040001,4,1,L3,3,501,503,602,,,1,1,1,,
DEN040002,4,2,M4,4,303,304,314,406,,1,1,1,1,
DEN040003,4,3,S2,2,109,230,,,,1,1,,,
DEN040004,4,4,S1,1,222,,,,,1,,,,
DEN040005,4,5,M2,2,312,316,,,,1,1,,,
DEN040006,4,6,S4,5,113,201,203,226,,2,1,1,1,
DEN040007,4,7,S5,5,103,114,228,231,232,1,1,1,1,1
DEN040008,4,8,M3,3,305,308,405,,,1,1,1,,
DEN040009,4,9,M1,1,302,,,,,1,,,,
DEN040010,4,10,S2,2,209,224,,,,1,1,,,
DEN040011,4,11,M2,2,313,401,,,,1,1,,,
DEN040012,4,12,M2,2,310,402,,,,1,1,,,
DEN040013,4,13,M1,1,309,,,,,1,,,,
DEN040014,4,14,S1,1,221,,,,,1,,,,
DEN040015,4,15,M1,1,404,,,,,1,,,,
DEN040016,4,16,M4,4,307,311,317,403,,1,1,1,1,
DEN040017,4,17,S2,2,108,216,,,,1,1,,,
DEN040018,4,18,M1,1,306,,,,,1,,,,
DEN040019,4,19,L2,2,502,601,,,,1,1,,,
DEN040020,4,20,M1,1,315,,,,,1,,,,
DEN050001,5,1,M5,5,301,315,403,404,405,1,1,1,1,1
DEN050002,5,2,M1,1,402,,,,,1,,,,
DEN050003,5,3,L4,4,501,502,503,601,,1,1,1,1,
DEN050004,5,4,S1,1,203,,,,,1,,,,
DEN050005,5,5,S2,2,107,221,,,,1,1,,,
DEN050006,5,6,S1,1,219,,,,,1,,,,
DEN050007,5,7,M1,1,401,,,,,1,,,,
DEN050008,5,8,S1,2,113,,,,,2,,,,
DEN050009,5,9,L1,1,602,,,,,1,,,,
DEN050010,5,10,M1,1,307,,,,,1,,,,
DEN050011,5,11,M1,1,306,,,,,1,,,,
DEN050012,5,12,M1,1,314,,,,,1,,,,
DEN050013,5,13,M1,1,308,,,,,1,,,,
DEN050014,5,14,S3,3,115,208,211,,,1,1,1,,
DEN050015,5,15,S4,4,109,204,212,222,,1,1,1,1,
DEN050016,5,16,S1,1,230,,,,,1,,,,
DEN050017,5,17,S1,1,114,,,,,1,,,,
DEN050018,5,18,MIX3,3,103,225,302,,,1,1,1,,
DEN050019,5,19,M1,1,303,,,,,1,,,,
DEN050020,5,20,M1,1,406,,,,,1,,,,
