sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,S2,3,113,201,,,,2,1,,,
DEN010002,1,2,M1,1,402,,,,,1,,,,
DEN010003,1,3,M1,1,314,,,,,1,,,,
DEN010004,1,4,L4,4,501,502,503,602,,1,1,1,1,
DEN010005,1,5,M3,3,308,404,406,,,1,1,1,,
DEN010006,1,6,M3,3,301,309,403,,,1,1,1,,
DEN010007,1,7,S2,2,212,232,,,,1,1,,,
DEN010008,1,8,M1,1,303,,,,,1,,,,
DEN010009,1,9,M3,3,306,307,312,,,1,1,1,,
DEN010010,1,10,M3,3,313,315,401,,,1,1,1,,
DEN010011,1,11,S1,1,214,,,,,1,,,,
DEN010012,1,12,M1,1,305,,,,,1,,,,
DEN010013,1,13,S4,4,102,205,215,216,,1,1,1,1,
DEN010014,1,14,MIX2,2,108,302,,,,1,1,,,
DEN010015,1,15,S2,11,110,203,,,,10,1,,,
DEN010016,1,16,M3,3,311,316,317,,,1,1,1,,
DEN010017,1,17,S1,1,109,,,,,1,,,,
DEN010018,1,18,M2,2,304,405,,,,1,1,,,
DEN010019,1,19,S2,2,114,222,,,,1,1,,,
DEN010020,1,20,M1,1,310,,,,,1,,,,
DEN020001,2,1,S3,3,202,218,222,,,1,1,1,,
DEN020002,2,2,L1,1,502,,,,,1,,,,
DEN020003,2,3,S2,2,214,220,,,,1,1,,,
DEN020004,2,4,S3,3,106,108,226,,,1,1,1,,
DEN020005,2,5,M2,2,304,405,,,,1,1,,,
DEN020006,2,6,S4,5,113,210,225,229,,2,1,1,1,
DEN020007,2,7,S3,3,101,201,230,,,1,1,1,,
DEN020008,2,8,S2,2,107,111,,,,1,1,,,
DEN020009,2,9,S1,1,103,,,,,1,,,,
DEN020010,2,10,M1,1,317,,,,,1,,,,
DEN020011,2,11,S2,2,109,206,,,,1,1,,,
DEN020012,2,12,S1,1,212,,,,,1,,,,
DEN020013,2,13,M1,1,306,,,,,1,,,,
DEN020014,2,14,S2,2,203,228,,,,1,1,,,
DEN020015,2,15,L2,2,501,602,,,,1,1,,,
DEN020016,2,16,S2,2,208,227,,,,1,1,,,
DEN020017,2,17,S2,2,216,219,,,,1,1,,,
DEN020018,2,18,L2,2,503,601,,,,1,1,,,
DEN020019,2,19,M1,1,313,,,,,1,,,,
DEN020020,2,20,M3,3,401,402,406,,,1,1,1,,
DEN030001,3,1,M1,1,403,,,,,1,,,,
DEN030002,3,2,S2,2,206,223,,,,1,1,,,
DEN030003,3,3,S2,2,221,226,,,,1,1,,,
DEN030004,3,4,S2,2,109,216,,,,1,1,,,
DEN030005,3,5,S1,1,211,,,,,1,,,,
DEN030006,3,6,M3,3,310,315,316,,,1,1,1,,
DEN030007,3,7,M1,1,314,,,,,1,,,,
DEN030008,3,8,L2,2,503,602,,,,1,1,,,
DEN030009,3,9,M3,3,302,317,406,,,1,1,1,,
DEN030010,3,10,MIX2,2,203,303,,,,1,1,,,
DEN030011,3,11,M3,3,307,311,312,,,1,1,1,,
DEN030012,3,12,MIX3,3,107,304,309,,,1,1,1,,
DEN030013,3,13,M1,1,306,,,,,1,,,,
DEN030014,3,14,S2,2,202,229,,,,1,1,,,
DEN030015,3,15,S1,1,207,,,,,1,,,,
DEN030016,3,16,S2,2,215,217,,,,1,1,,,
DEN030017,3,17,S1,1,228,,,,,1,,,,
DEN030018,3,18,M5,5,301,308,401,402,404,1,1,1,1,1
DEN030019,3,19,M2,2,313,405,,,,1,1,,,
DEN030020,3,20,S1,1,104,,,,,1,,,,
DEN040001,4,1,S1,1,108,,,,,1,,,,
DEN040002,4,2,S2,2,206,228,,,,1,1,,,
DEN040003,4,3,S3,3,102,107,207,,,1,1,1,,
DEN040004,4,4,S1,1,212,,,,,1,,,,
