sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,M1,1,309,,,,,1,,,,
DEN010002,1,2,M1,1,314,,,,,1,,,,
DEN010003,1,3,S1,1,213,,,,,1,,,,
DEN010004,1,4,S2,2,214,224,,,,1,1,,,
DEN010005,1,5,M3,3,305,308,402,,,1,1,1,,
DEN010006,1,6,M1,1,302,,,,,1,,,,
DEN010007,1,7,M1,1,317,,,,,1,,,,
DEN010008,1,8,S4,5,102,105,113,211,,1,1,2,1,
DEN010009,1,9,M2,2,316,404,,,,1,1,,,
DEN010010,1,10,M1,1,301,,,,,1,,,,
DEN010011,1,11,M3,3,304,312,405,,,1,1,1,,
DEN010012,1,12,M1,1,310,,,,,1,,,,
DEN010013,1,13,M2,2,307,311,,,,1,1,,,
DEN010014,1,14,S1,1,231,,,,,1,,,,
DEN010015,1,15,M5,5,303,306,313,401,403,1,1,1,1,1
DEN010016,1,16,S2,2,115,207,,,,1,1,,,
DEN010017,1,17,S1,1,219,,,,,1,,,,
DEN010018,1,18,S3,3,108,111,218,,,1,1,1,,
DEN010019,1,19,M1,1,315,,,,,1,,,,
DEN010020,1,20,S2,2,203,208,,,,1,1,,,
DEN020001,2,1,S2,2,107,114,,,,1,1,,,
DEN020002,2,2,L2,2,502,602,,,,1,1,,,
DEN020003,2,3,M5,5,305,310,311,312,404,1,1,1,1,1
DEN020004,2,4,M1,1,316,,,,,1,,,,
DEN020005,2,5,M1,1,314,,,,,1,,,,
DEN020006,2,6,M3,3,301,317,401,,,1,1,1,,
DEN020007,2,7,M2,2,304,313,,,,1,1,,,
DEN020008,2,8,M3,3,303,309,406,,,1,1,1,,
DEN020009,2,9,M1,1,405,,,,,1,,,,
DEN020010,2,10,S2,4,112,203,,,,3,1,,,
DEN020011,2,11,L1,1,501,,,,,1,,,,
DEN020012,2,12,MIX4,4,102,105,215,315,,1,1,1,1,
DEN020013,2,13,M1,1,302,,,,,1,,,,
DEN020014,2,14,M3,3,307,308,402,,,1,1,1,,
