sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,xM2-5,3,307,309,404,,,1,1,1,,
DEN010002,1,2,xS2-3,2,206,311,,,,1,1,,,
DEN010003,1,3,xS2-3,2,107,109,,,,1,1,,,
DEN010004,1,4,xL1,1,601,,,,,1,,,,
DEN010005,1,5,xM1,1,310,,,,,1,,,,
DEN010006,1,6,xM1,1,308,,,,,1,,,,
DEN010007,1,7,xL1,1,401,,,,,1,,,,
DEN010008,1,8,xS2-3,3,222,301,312,,,1,1,1,,
DEN010009,1,9,xS2-3,2,210,221,,,,1,1,,,
DEN010010,1,10,xS4-5,5,104,106,204,218,220,1,1,1,1,1
DEN010011,1,11,xL1,1,501,,,,,1,,,,
DEN010012,1,12,xM1,1,304,,,,,1,,,,
DEN010013,1,13,xS1,1,226,,,,,1,,,,
DEN010014,1,14,xS1,1,108,,,,,1,,,,
DEN010015,1,15,xS4-5,4,102,214,223,225,,1,1,1,1,
DEN010016,1,16,xS1,1,103,,,,,1,,,,
DEN010017,1,17,xS1,1,205,,,,,1,,,,
DEN010018,1,18,xS4-5,5,202,203,211,216,219,1,1,1,1,1
DEN010019,1,19,xS2-3,2,101,306,,,,1,1,,,
DEN010020,1,20,xS1,1,209,,,,,1,,,,
DEN020001,2,1,xS1,1,203,,,,,1,,,,
DEN020002,2,2,xS2-3,2,214,218,,,,1,1,,,
DEN020003,2,3,xS1,1,208,,,,,1,,,,
DEN020004,2,4,xS2-3,2,308,309,,,,1,1,,,
DEN020005,2,5,xM1,1,311,,,,,1,,,,
DEN020006,2,6,xM1,1,303,,,,,1,,,,
DEN020007,2,7,xM1,1,312,,,,,1,,,,
DEN020008,2,8,xS1,1,105,,,,,1,,,,
DEN020009,2,9,xS2-3,2,102,225,,,,1,1,,,
DEN020010,2,10,xL1,1,601,,,,,1,,,,
DEN020011,2,11,xS2-3,3,204,220,222,,,1,1,1,,
DEN020012,2,12,xS2-3,3,109,216,217,,,1,1,1,,
DEN020013,2,13,xS1,1,202,,,,,1,,,,
DEN020014,2,14,xS2-3,2,226,310,,,,1,1,,,
DEN020015,2,15,xS1,1,106,,,,,1,,,,
DEN020016,2,16,xS2-3,2,219,305,,,,1,1,,,
DEN020017,2,17,xS2-3,3,101,223,307,,,1,1,1,,
DEN020018,2,18,xS2-3,3,103,224,304,,,1,1,1,,
DEN020019,2,19,xS2-3,3,215,221,302,,,1,1,1,,
DEN020020,2,20,xS4-5,5,108,201,205,210,213,1,1,1,1,1
DEN030001,3,1,xM1,1,309,,,,,1,,,,
DEN030002,3,2,xS2-3,2,215,222,,,,1,1,,,
DEN030003,3,3,xS1,1,223,,,,,1,,,,
DEN030004,3,4,xS2-3,3,206,209,312,,,1,1,1,,
DEN030005,3,5,xM1,1,302,,,,,1,,,,
DEN030006,3,6,xM2-5,4,301,306,402,403,,1,1,1,1,
DEN030007,3,7,xS2-3,2,205,216,,,,1,1,,,
DEN030008,3,8,xM1,1,307,,,,,1,,,,
DEN030009,3,9,xM1,1,310,,,,,1,,,,
DEN030010,3,10,xS2-3,2,102,105,,,,1,1,,,
DEN030011,3,11,xS1,1,213,,,,,1,,,,
DEN030012,3,12,xL1,1,501,,,,,1,,,,
DEN030013,3,13,xS2-3,2,207,218,,,,1,1,,,
DEN030014,3,14,xS2-3,3,220,221,304,,,1,1,1,,
DEN030015,3,15,xS1,1,101,,,,,1,,,,
DEN030016,3,16,xL1,1,404,,,,,1,,,,
DEN030017,3,17,xS2-3,3,210,224,225,,,1,1,1,,
DEN030018,3,18,xS1,1,204,,,,,1,,,,
DEN030019,3,19,xS2-3,2,109,305,,,,1,1,,,
DEN030020,3,20,xS4-5,5,104,106,211,217,219,1,1,1,1,1
DEN040001,4,1,xS1,1,102,,,,,1,,,,
DEN040002,4,2,xL1,1,401,,,,,1,,,,
DEN040003,4,3,xS2-3,3,215,306,311,,,1,1,1,,
DEN040004,4,4,xS4-5,5,206,214,217,219,221,1,1,1,1,1
DEN040005,4,5,xS2-3,2,108,224,,,,1,1,,,
DEN040006,4,6,xL1,1,501,,,,,1,,,,
DEN040007,4,7,xM2-5,4,301,304,307,309,,1,1,1,1,
DEN040008,4,8,xS2-3,3,216,218,226,,,1,1,1,,
DEN040009,4,9,xS2-3,3,101,202,208,,,1,1,1,,
DEN040010,4,10,xS1,1,211,,,,,1,,,,
DEN040011,4,11,xS1,1,209,,,,,1,,,,
DEN040012,4,12,xS1,1,204,,,,,1,,,,
DEN040013,4,13,xM2-5,2,305,310,,,,1,1,,,
DEN040014,4,14,xL1,1,404,,,,,1,,,,
DEN040015,4,15,xS1,1,107,,,,,1,,,,
DEN040016,4,16,xS2-3,3,203,212,220,,,1,1,1,,
DEN040017,4,17,xS1,1,207,,,,,1,,,,
DEN040018,4,18,xM1,1,308,,,,,1,,,,
DEN040019,4,19,xS1,1,223,,,,,1,,,,
DEN040020,4,20,xM1,1,302,,,,,1,,,,
DEN050001,5,1,xS2-3,2,224,226,,,,1,1,,,
DEN050002,5,2,xM2-5,2,307,312,,,,1,1,,,
DEN050003,5,3,xS1,1,108,,,,,1,,,,
DEN050004,5,4,xS2-3,2,221,309,,,,1,1,,,
DEN050005,5,5,xM2-5,5,303,305,306,310,402,1,1,1,1,1
DEN050006,5,6,xS2-3,3,205,214,302,,,1,1,1,,
DEN050007,5,7,xM1,1,304,,,,,1,,,,
DEN050008,5,8,xM2-5,2,311,404,,,,1,1,,,
DEN050009,5,9,xS2-3,3,208,209,301,,,1,1,1,,
DEN050010,5,10,xS1,1,103,,,,,1,,,,
DEN050011,5,11,xS4-5,5,106,203,216,218,220,1,1,1,1,1
DEN050012,5,12,xL1,1,403,,,,,1,,,,
DEN050013,5,13,xS2-3,3,102,204,211,,,1,1,1,,
DEN050014,5,14,xS2-3,2,202,225,,,,1,1,,,
DEN050015,5,15,xS2-3,2,109,308,,,,1,1,,,
DEN050016,5,16,xS2-3,2,210,217,,,,1,1,,,
DEN050017,5,17,xS2-3,2,213,215,,,,1,1,,,
DEN050018,5,18,xS2-3,3,101,207,219,,,1,1,1,,
DEN050019,5,19,xS1,1,222,,,,,1,,,,
DEN050020,5,20,xS2-3,3,105,107,212,,,1,1,1,,
